Country,LEAB,GNI
France,82.5,45937
Ecuador,73.7,10312
Nicaragua,73.8,5625
Portugal,81.0,33155
United Kingdom,80.7,45225
Iraq,70.4,9977
Thailand,78.7,17030
Kyrgyzstan,70.0,4566
Venezuela (Bolivarian Republic of),70.6,4811
Czechia,77.7,38745
Algeria,76.4,10800
Barbados,77.6,12306
Cabo Verde,74.1,6230
Madagascar,64.5,1484
Latvia,73.6,32803
Chad,52.5,1364
Guinea-Bissau,59.7,1908
Tonga,71.0,6822
Nigeria,52.7,4790
Dominica,72.8,11488
Benin,59.8,3409
"Hong Kong, China (SAR)",85.5,62607
Zambia,61.2,3218
Colombia,72.8,14384
Slovenia,80.7,39746
Tanzania (United Republic of),66.2,2664
Sierra Leone,60.1,1622
Nepal,68.4,3877
Sweden,83.0,54489
Eswatini (Kingdom of),57.1,7679
Türkiye,76.0,31033
Namibia,59.3,8634
Niger,61.6,1240
Maldives,79.9,15448
Indonesia,67.6,11466
